date,date,value
1957-09-01 09:00:00,1957-09-01 09:00:00,30.6
1957-10-01 09:00:00,1957-10-01 09:00:00,25.3
1957-11-01 09:00:00,1957-11-01 09:00:00,138.6
1957-12-01 09:00:00,1957-12-01 09:00:00,129.9
1958-01-01 09:00:00,1958-01-01 09:00:00,159.2
1958-02-01 09:00:00,1958-02-01 09:00:00,104.5
1958-03-01 09:00:00,1958-03-01 09:00:00,189.0
1958-04-01 09:00:00,1958-04-01 09:00:00,89.8
1958-05-01 09:00:00,1958-05-01 09:00:00,53.0
1958-06-01 09:00:00,1958-06-01 09:00:00,89.5
1958-07-01 09:00:00,1958-07-01 09:00:00,20.8
1958-08-01 09:00:00,1958-08-01 09:00:00,24.6
1958-09-01 09:00:00,1958-09-01 09:00:00,30.6
1958-10-01 09:00:00,1958-10-01 09:00:00,86.0
1958-11-01 09:00:00,1958-11-01 09:00:00,10.7
1958-12-01 09:00:00,1958-12-01 09:00:00,312.0
1959-01-01 09:00:00,1959-01-01 09:00:00,174.8
1959-02-01 09:00:00,1959-02-01 09:00:00,27.9
1959-03-01 09:00:00,1959-03-01 09:00:00,186.9
1959-04-01 09:00:00,1959-04-01 09:00:00,129.3
1959-05-01 09:00:00,1959-05-01 09:00:00,136.6
1959-06-01 09:00:00,1959-06-01 09:00:00,39.6
1959-07-01 09:00:00,1959-07-01 09:00:00,22.3
1959-08-01 09:00:00,1959-08-01 09:00:00,13.3
1959-09-01 09:00:00,1959-09-01 09:00:00,133.1
1959-10-01 09:00:00,1959-10-01 09:00:00,129.7
1959-11-01 09:00:00,1959-11-01 09:00:00,250.9
1959-12-01 09:00:00,1959-12-01 09:00:00,334.7
1960-01-01 09:00:00,1960-01-01 09:00:00,134.7
1960-02-01 09:00:00,1960-02-01 09:00:00,305.7
1960-03-01 09:00:00,1960-03-01 09:00:00,249.5
1960-04-01 09:00:00,1960-04-01 09:00:00,92.4
1960-05-01 09:00:00,1960-05-01 09:00:00,110.7
1960-06-01 09:00:00,1960-06-01 09:00:00,85.2
1960-07-01 09:00:00,1960-07-01 09:00:00,35.6
1960-08-01 09:00:00,1960-08-01 09:00:00,36.2
1960-09-01 09:00:00,1960-09-01 09:00:00,75.9
1960-10-01 09:00:00,1960-10-01 09:00:00,472.8
1960-11-01 09:00:00,1960-11-01 09:00:00,332.7
1960-12-01 09:00:00,1960-12-01 09:00:00,162.0
1961-01-01 09:00:00,1961-01-01 09:00:00,129.8
1961-02-01 09:00:00,1961-02-01 09:00:00,30.5
1961-03-01 09:00:00,1961-03-01 09:00:00,13.8
1961-04-01 09:00:00,1961-04-01 09:00:00,147.4
1961-05-01 09:00:00,1961-05-01 09:00:00,119.0
1961-06-01 09:00:00,1961-06-01 09:00:00,60.6
1961-07-01 09:00:00,1961-07-01 09:00:00,45.8
1961-08-01 09:00:00,1961-08-01 09:00:00,12.4
1961-09-01 09:00:00,1961-09-01 09:00:00,54.7
1961-10-01 09:00:00,1961-10-01 09:00:00,127.3
1961-11-01 09:00:00,1961-11-01 09:00:00,176.1
1961-12-01 09:00:00,1961-12-01 09:00:00,281.4
1962-01-01 09:00:00,1962-01-01 09:00:00,210.1
1962-02-01 09:00:00,1962-02-01 09:00:00,30.7
1962-03-01 09:00:00,1962-03-01 09:00:00,250.2
1962-04-01 09:00:00,1962-04-01 09:00:00,65.4
1962-05-01 09:00:00,1962-05-01 09:00:00,22.9
1962-06-01 09:00:00,1962-06-01 09:00:00,52.6
1962-07-01 09:00:00,1962-07-01 09:00:00,6.8
1962-08-01 09:00:00,1962-08-01 09:00:00,0.0
1962-09-01 09:00:00,1962-09-01 09:00:00,59.9
1962-10-01 09:00:00,1962-10-01 09:00:00,49.0
1962-11-01 09:00:00,1962-11-01 09:00:00,95.0
1962-12-01 09:00:00,1962-12-01 09:00:00,46.1
1963-01-01 09:00:00,1963-01-01 09:00:00,264.0
1963-02-01 09:00:00,1963-02-01 09:00:00,278.8
1963-03-01 09:00:00,1963-03-01 09:00:00,172.4
1963-04-01 09:00:00,1963-04-01 09:00:00,151.5
1963-05-01 09:00:00,1963-05-01 09:00:00,61.4
1963-06-01 09:00:00,1963-06-01 09:00:00,100.9
1963-07-01 09:00:00,1963-07-01 09:00:00,0.1
1963-08-01 09:00:00,1963-08-01 09:00:00,0.0
1963-09-01 09:00:00,1963-09-01 09:00:00,53.2
1963-10-01 09:00:00,1963-10-01 09:00:00,71.6
1963-11-01 09:00:00,1963-11-01 09:00:00,554.0
1963-12-01 09:00:00,1963-12-01 09:00:00,220.0
1964-01-01 09:00:00,1964-01-01 09:00:00,20.4
1964-02-01 09:00:00,1964-02-01 09:00:00,303.8
1964-03-01 09:00:00,1964-03-01 09:00:00,248.2
1964-04-01 09:00:00,1964-04-01 09:00:00,40.4
1964-05-01 09:00:00,1964-05-01 09:00:00,34.0
1964-06-01 09:00:00,1964-06-01 09:00:00,148.0
1964-07-01 09:00:00,1964-07-01 09:00:00,10.6
1964-08-01 09:00:00,1964-08-01 09:00:00,5.4
1964-09-01 09:00:00,1964-09-01 09:00:00,37.2
1964-10-01 09:00:00,1964-10-01 09:00:00,59.2
1964-11-01 09:00:00,1964-11-01 09:00:00,16.2
1964-12-01 09:00:00,1964-12-01 09:00:00,30.0
1965-01-01 09:00:00,1965-01-01 09:00:00,154.8
1965-02-01 09:00:00,1965-02-01 09:00:00,94.4
1965-03-01 09:00:00,1965-03-01 09:00:00,194.5
1965-04-01 09:00:00,1965-04-01 09:00:00,32.4
1965-05-01 09:00:00,1965-05-01 09:00:00,16.8
1965-06-01 09:00:00,1965-06-01 09:00:00,17.0
1965-07-01 09:00:00,1965-07-01 09:00:00,3.1
1965-08-01 09:00:00,1965-08-01 09:00:00,0.3
1965-09-01 09:00:00,1965-09-01 09:00:00,194.4
1965-10-01 09:00:00,1965-10-01 09:00:00,109.3
1965-11-01 09:00:00,1965-11-01 09:00:00,293.2
1965-12-01 09:00:00,1965-12-01 09:00:00,154.7
1966-01-01 09:00:00,1966-01-01 09:00:00,432.8
1966-02-01 09:00:00,1966-02-01 09:00:00,478.5
1966-03-01 09:00:00,1966-03-01 09:00:00,4.4
1966-04-01 09:00:00,1966-04-01 09:00:00,331.2
1966-05-01 09:00:00,1966-05-01 09:00:00,26.5
1966-06-01 09:00:00,1966-06-01 09:00:00,66.0
1966-07-01 09:00:00,1966-07-01 09:00:00,9.5
1966-08-01 09:00:00,1966-08-01 09:00:00,33.2
1966-09-01 09:00:00,1966-09-01 09:00:00,26.0
1966-10-01 09:00:00,1966-10-01 09:00:00,291.8
1966-11-01 09:00:00,1966-11-01 09:00:00,80.4
1966-12-01 09:00:00,1966-12-01 09:00:00,41.9
1967-01-01 09:00:00,1967-01-01 09:00:00,119.8
1967-02-01 09:00:00,1967-02-01 09:00:00,143.2
1967-03-01 09:00:00,1967-03-01 09:00:00,70.5
1967-04-01 09:00:00,1967-04-01 09:00:00,51.0
1967-05-01 09:00:00,1967-05-01 09:00:00,148.8
1967-06-01 09:00:00,1967-06-01 09:00:00,2.7
1967-07-01 09:00:00,1967-07-01 09:00:00,0.2
1967-08-01 09:00:00,1967-08-01 09:00:00,5.1
1967-09-01 09:00:00,1967-09-01 09:00:00,32.5
1967-10-01 09:00:00,1967-10-01 09:00:00,49.8
1967-11-01 09:00:00,1967-11-01 09:00:00,133.6
1967-12-01 09:00:00,1967-12-01 09:00:00,10.4
1968-01-01 09:00:00,1968-01-01 09:00:00,1.9
1968-02-01 09:00:00,1968-02-01 09:00:00,278.4
1968-03-01 09:00:00,1968-03-01 09:00:00,62.3
1968-04-01 09:00:00,1968-04-01 09:00:00,129.1
1968-05-01 09:00:00,1968-05-01 09:00:00,115.6
1968-06-01 09:00:00,1968-06-01 09:00:00,0.0
1968-07-01 09:00:00,1968-07-01 09:00:00,0.0
1968-08-01 09:00:00,1968-08-01 09:00:00,29.1
1968-09-01 09:00:00,1968-09-01 09:00:00,89.0
1968-10-01 09:00:00,1968-10-01 09:00:00,81.0
1968-11-01 09:00:00,1968-11-01 09:00:00,208.9
1968-12-01 09:00:00,1968-12-01 09:00:00,228.5
1969-01-01 09:00:00,1969-01-01 09:00:00,238.4
1969-02-01 09:00:00,1969-02-01 09:00:00,160.4
1969-03-01 09:00:00,1969-03-01 09:00:00,262.7
1969-04-01 09:00:00,1969-04-01 09:00:00,61.7
1969-05-01 09:00:00,1969-05-01 09:00:00,144.7
1969-06-01 09:00:00,1969-06-01 09:00:00,39.1
1969-07-01 09:00:00,1969-07-01 09:00:00,39.1
1969-08-01 09:00:00,1969-08-01 09:00:00,0.0
1969-09-01 09:00:00,1969-09-01 09:00:00,99.5
1969-10-01 09:00:00,1969-10-01 09:00:00,51.0
1969-11-01 09:00:00,1969-11-01 09:00:00,142.3
1969-12-01 09:00:00,1969-12-01 09:00:00,85.7
1970-01-01 09:00:00,1970-01-01 09:00:00,443.7
